,breed,summary,image,other_names,nicknames,origin,weight,height,coat,color,lifespan
337,Moscow Water Dog,"The Moscow Water Dog, also known as the Moscow Diver, Moscow Retriever or Moskovsky Vodolaz, is a little-known dog breed derived from the Newfoundland, Caucasian Shepherd Dog and East European Shepherd. It is now extinct, but was used in the development of the Black Russian Terrier. The Moscow Water Dog was produced only by the Red Star Kennels, the state-operated organization chartered to provide working dogs for the armed services of the Soviet Union.
After World War II, there were very few working dogs in Soviet Union as many had been killed during the war. Some were imported but there were not enough to establish a dedicated breeding programme for a specific breed. The Central Military School of Working Dogs (the Red Star Kennels), under the command of Colonel G. P. Medvedev began working on developing a number of their own specialised breeds by crossing the available stock. A few breeds were established including the Moscow Newfoundland, a cross of German Shepherd Dog and Newfoundland; the Moscow Great Dane, using German Shepherd and Great Dane; the Brudasty Hound, which was an Airedale Terrier and Russian Hound mix; the Moscow Watchdog, a combination of St. Bernard and Caucasian Shepherd Dog; and the Moscow Water Dog.  The most successful breed to come out of the programme was the Black Russian Terrier, which gained international recognition in 1984; it derived from a combination of 14 different breeds including the Moscow Water Dog in the later stages of its development.
Moscow Water Dogs were bred in Krasnaya Zvezda, Belarus, by interbreeding Newfoundland males with East European Shepherd and Caucasian Shepherd Dog females, and by mating the offspring with each other. They were developed as a water rescue/lifesaving dog, but according to O. Krasnovskaya, ""That was not a good idea as [they] were not willing to save drowning people, but mostly were looking to bite them, so this breed was never developed"".",https://user-images.githubusercontent.com/24848110/33519396-7e56363c-d79d-11e7-969b-09782f5ccbab.png,Moscow Diver<br />Moscow Retriever<br />Moskovsky Vodolaz (Московский Водолаз),,[[Russia]],,,,,
338,Mountain Cur,"The Mountain Cur is a type of working dog that is bred specifically for treeing and trailing small game, like squirrel and raccoons. They are also used for hunting and baying big game like bear and wild boar as well as being an all-purpose farm dog. Curs are a member of the Hound group, and the Mountain Cur is one of several varieties of cur. It can also be used as a water dog. Mainly bred in Ohio, Kentucky, Virginia, and Tennessee, it has been registered with the United Kennel Club since 1998. The Mountain Cur Breeder's Association was formed in 1957.",https://upload.wikimedia.org/wikipedia/commons/4/41/Mtncur.png,,,[[United States]],{{convert|30|-|60|lb|kg|abbr|=|on}},{{convert|18|-|26|in|cm|abbr|=|on}},,,
339,Mucuchies,"Mucuchí (Venezuelan Sheepdog) is a dog breed from Venezuela (specifically from Sierra Nevada de Mérida). The dogs have a short coat with feathering along their limbs. The coat color is either white or white with splashes of colors such as honey or tan, or shades of black and gray.",https://upload.wikimedia.org/wikipedia/commons/f/f6/Mucuchies_natural_habitat.jpg,Venezuelan Sheepdog<br>Dog of [[Páramo]]s (Perro de los Páramos),,[[Venezuela]],,,,,
340,Mudhol Hound,"The Mudhol Hound, also known as Caravan Hound is an Indian breed of dog of the sight hound type. The feathered variety is commonly referred to as a Pashmi. It is also called Karwani. It is a common pet amongst villagers in India's Karnataka state, who use it for hunting and guarding.
The Kennel Club of India (KCI) and Indian National Kennel Club (INKC) recognize the breed under different breed names. The KCI registers it as a Caravan Hound while the INKC uses the name Mudhol Hound.The postage stamp with face value of Rs.5.00 was released by Indian Postal Department on 9 January 2005, together with three other dogs, the Himalayan Sheep Dog (Rs. 5.00), Rampur Hound (Rs. 5.00) and Rajapalayam (Rs. 15.00), in recognition of the Mudhol hound.",https://upload.wikimedia.org/wikipedia/commons/2/2b/Caravan_hound_Closeupfire.jpg,Mudhol Dog<br>Caravan Hound,,[[Mudhol]],,,,,
341,Mudi,"The Mudi (in Hungarian, the plural form of mudi is mudik) is a herding dog breed from Hungary. It is closely related to the Puli and Pumi, from which it was separated in the 1930s. Today, the Mudi is bred for work, sport, companionship, and show.  They continue to be used in herding, as well as participating in a variety of dog sports.

",https://upload.wikimedia.org/wikipedia/commons/c/c4/Hondenras_Mudi.jpg,Hungarian Mudi<br>Canis Ovilis Fenyesi,,[[Hungary]],,,,,
342,Neapolitan Mastiff,"The Neapolitan Mastiff or Mastino (Italian: Mastino Napoletano) is a large dog breed from Italy. This massive breed is often used as a guard and defender of family and property due to their protective instincts and their fearsome appearance.

",https://upload.wikimedia.org/wikipedia/commons/0/06/Mastino_Napoletano_R%C3%BCde_clp.JPG,Mastino<br>Mastino Napoletano<br>Italian Molosso<br>Can'e presa,,[[Italy]],{{convert|60|-|70|kg|lb|abbr|=|on}},{{convert|61|-|79|cm|in|abbr|=|on}},,,
343,Kooikerhondje,"The Kooikerhondje (Old Dutch for ""small cager dog"") is a small spaniel-type breed of dog of Dutch ancestry that was originally used as a working dog, particularly in an eendenkooi (duck cage) to lure ducks.    Kooikers were popular in the 17th and 18th century and appeared in the paintings of Rembrandt and Jan Steen. The breed is rapidly gaining popularity in the United States, Canada and Scandinavia, where it is still relatively unknown.

",https://upload.wikimedia.org/wikipedia/commons/f/f0/Kooiker03.jpg,,Kooiker,Netherlands,,,,,
344,Laika (dog breed),"Laika (Russian: Ла́йка, IPA: [ˈlajkə]) is a type of hunting dog of Northern Russia and Russian Siberia, and is a generic name for several breeds. Laika is also the given name for the mongrel who was the first dog in space.",https://upload.wikimedia.org/wikipedia/commons/e/e7/East_Siberian_Laika_03.jpg,,,[[Russia]],,,,,
345,Newfoundland dog,"The Newfoundland dog is a large working dog. They can be either black, brown, or white-and-black (called Landseer). However, in the Dominion of Newfoundland, before it became part of the confederation of Canada, only black and Landseer coloured dogs were considered to be proper members of the breed. They were originally bred and used as working dogs for fishermen in Newfoundland. Newfoundland dogs are known for their giant size, intelligence, tremendous strength, calm dispositions, and loyalty. They excel at water rescue/lifesaving because of their muscular build, thick double coat, webbed feet, and swimming abilities.

",https://upload.wikimedia.org/wikipedia/commons/a/a5/Newfoundland_dog_Smoky.jpg,,,"[[Newfoundland and Labrador]], Canada",{{convert|65|-|80|kg|lb|abbr|=|on}},71 cm (28 in),Thick and straight,,8–10 years [http://users.pullman.com/lostriver/breeddata.htm]
346,New Guinea singing dog,"The New Guinea singing dog or New Guinea Highland dog (Canis lupus dingo or Canis familiaris) is a rare dog native to the New Guinea Highlands of the island of New Guinea. Its taxonomic status is debated.
The dog is noted for its unique vocalization. Little is known about New Guinea singing dogs in the wild, and until 2016 there were only two photographs of wild sightings: one taken in 1989 and published by Australian mammalogist Tim Flannery, and the other taken in August 2012 by wilderness adventure guide Tom Hewett in the Star Mountains region of West Papua.In 2016, the New Guinea Highland Wild Dog Foundation announced to the media that it and the University of Papua had located and photographed a group of fifteen ""highland wild dogs"".",https://upload.wikimedia.org/wikipedia/commons/4/43/New_Guinea_Singing_Dog_on_trail-Cropped.jpg,"''Canis hallstromi'' <small>[[Ellis Le Geyt Troughton|Troughton]], 1957</small>",,New Guinea,,,,,
347,New Zealand Heading Dog,"The New Zealand Heading Dog is a working and herding dog that uses its visual prowess and quick movement to control sheep. Bred from Border Collies, Heading Dogs are a sturdy, long-legged and even-haired breed. They are generally black and white in color, but may also be tan.",https://upload.wikimedia.org/wikipedia/commons/8/85/Welsh_Sheepdog.jpg,New Zealand Heading Dog<br />New Zealand Eye Dog,,[[New Zealand]],,,smooth,"black, white, tan",
348,Norfolk Spaniel,"The Norfolk Spaniel or Shropshire Spaniel is an extinct breed of dog since the early 20th century. It was originally thought to have originated from the work of one of the Dukes of Norfolk, but this theory was disproven after being in doubt during the later part of the 19th century. The term was used to designate springer type spaniels that were neither Sussex nor Clumber Spaniels, and attempts were made to use it to specify a breed that would later become known as the English Springer Spaniel.
With a liver-and-white or black-and-white coat, the Norfolk Spaniel was described as being a large cocker spaniel. The Spaniel Club set out a breed standard for Norfolk Spaniels, but specimens of the breed varied greatly across England. Members of the breed were difficult to train, but formed a strong attachment with their owners and were useful for hunting both on land and in water. The breed ceased to exist after 1903, when it was rolled into the new English Springer Spaniel breed created by The Kennel Club to contain all spaniels of this type.",https://upload.wikimedia.org/wikipedia/commons/c/cc/Dash-II-Norfolk-Spaniel.jpg,Shropshire Spaniel,,[[United Kingdom]],,,,,
349,Norfolk Terrier,"The Norfolk Terrier is a British breed of dog. Prior to gaining recognition as an independent breed in 1964, it was a variety of the Norwich Terrier, distinguished from the ""prick eared"" Norwich by its ""drop ears"" (or folded ears). Together, the Norfolk and Norwich Terriers are the smallest of the working terriers.

",https://upload.wikimedia.org/wikipedia/commons/b/be/Norfolk_terrier_CAC.jpg,,,[[Great Britain]],,,,,
350,Norrbottenspets,"The Norrbottenspets is a breed of dog of the spitz type. It is a breed whose original purpose was a farm and hunting dog but has recently become more popular as a companion dog. The Norrbottenspets is used to hunt wood grouse, black grouse, capercaillie and hazel grouse, but also fox, marten and raccoon. Some individuals are also effective with mammals as large as moose and grizzly bear. Norrbottenspets was formerly used in hunting squirrels, when squirrel fur was valuable in the beginning of the 20th century and earlier.

",https://upload.wikimedia.org/wikipedia/commons/2/2d/Nordic_Spitz.jpg,Nordic Spitz<br>Norrbottenspitz<br>Pohjanpystykorva,,[[Sweden]],,,,,
351,North Country Beagle,"The North Country Beagle, Northern Hound or Northern Beagle was a breed of dog that existed in Britain probably until early in the 19th century. The exact date of its extinction is not known; it is likely that it was gradually interbred with other breeds, particularly the modern Beagle, until the genuine North Country Beagle bloodline ceased to exist.
The origins of the North Country Beagle are equally unclear. Most writers suggest that it was developed from the Talbot, whose origins are also uncertain, but which some have claimed originated in Normandy. The Talbot was a predominantly white, slow, deep-throated, scent hound. At some point the Talbots were crossed with Greyhounds to give them an extra turn of speed, but they remained comparatively slow dogs that relied more on their nose than speed in the chase.The North Country Beagle was a large, bony hound with a square head, and long trailing ears. Chiefly bred in Yorkshire, it was common in the north of England, but below the River Trent the similar Southern Hound was more abundant. The North Country Beagle was a faster dog; in The British Encyclopedia of 1809, William Nicholson says that the North Country Beagle was kept by the ""dashing class of sportsman"" because it could ""run down a brace [of hare] before dinner"", but although a good scent hound, was probably lacking in this ability when compared to the delicate nose of the Southern Hound. The writer and poet Gervase Markham, who wrote a number of books on animal husbandry in the early 17th century described the North Country Beagle as having:

...a head more slender, with a longer nose, ears and flews more shallow, back broad, belly gaunt, joints long, tail small, and his general form more slender and greyhound-like...
In his The Dog, in Health and Disease in 1859, ""Stonehenge"" (the pen name of John Henry Walsh, later editor of The Field) says the two breeds could be differentiated by the large dewlap possessed by the Southern Hound. The Southern Hound seems to have also had a deeper more melodious voice; Markham says the North Country Beagle had ""only a little shrill sweetness"" and lacked depth of tone. How far the Talbot, Northern Hound and Southern Hound were intermixed by the 19th century is impossible to ascertain: while acknowledging that they had once existed as separate breeds, Stonehenge had never seen pure-bred varieties and classified the three breeds together.Both the North Country Beagle and Southern Hound seem to have fallen out of favour during the 18th century as the fashion for less time consuming hunts led to the development of the faster Foxhound. The North Country Beagle may have formed part of the packs kept by southern farmers for rabbit-hunting that would eventually become the nucleus for the modern Beagle breed. Stonehenge says that packs of hounds that resembled the description of the North Country Beagle still existed in Wales, Devon, Yorkshire and Sussex during the 19th century, but he was doubtful as to how far any of these packs truly represented any of the three early hound breeds.Aside from the Beagle other modern hound breeds are believed to have North Country Beagle blood: Harriers and Foxhounds among others. Coonhounds and Bloodhounds are likely to have had more influence from the Southern Hound and Talbot lines, as they are excellent trackers but not as swift as other hound breeds.",https://upload.wikimedia.org/wikipedia/commons/6/6b/Beagle_%28PSF%29.png,,,[[United Kingdom of Great Britain and Ireland|Great Britain]],,,,,
